Project Name,Figma Link,Proto-type,Category,Website Link,Language
Sequoia Therapy,https://www.figma.com/file/X7xIj7KQhTPe9jRtUDs3lJ/Sequoia-Therapy?type=design&node-id=0-1,https://www.figma.com/proto/X7xIj7KQhTPe9jRtUDs3lJ/Sequoia-Therapy?node-id=2-9&t=T6ToJjpGlxR39mRo-1&scaling=scale-down-width&content-scaling=fixed&page-id=0%3A1,Therapist | Consultant | Massage Specialist || Online Booking,https://sequoiatherapy.com/,Wordpress || Custom
LRES,https://www.figma.com/file/44kFKbm0MYmiVuW9IYKnts/My-LRES?type=design&node-id=0-1&mode=design,https://www.figma.com/proto/44kFKbm0MYmiVuW9IYKnts/My-LRES?node-id=1-12&t=6YM0wu0cXvRVNVIS-1&scaling=scale-down-width&content-scaling=fixed&page-id=0%3A1,Real Estate || Buy And Rental || Property Management || Property Listing,https://mylres.com/,Wordpress || Custom
Prestige Pet Sitting,https://www.figma.com/file/PZ25i5F2UALvYBoaxlJufH/Prestige-Pet-Sitting?type=design&node-id=0%3A1&mode=design&t=q8p1KQLABtUqUrhe-1,https://www.figma.com/proto/PZ25i5F2UALvYBoaxlJufH/Prestige-Pet-Sitting?page-id=0%3A1&type=design&node-id=1-8&viewport=0%2C0%2C1&t=Ij24ROF7c6yZ3A6c-1&scaling=scale-down-width&starting-point-node-id=1%3A8&content-scaling=fixed,Pet Care Services || Dog Care || Animal || Sign-in / Sign Up,https://prestigepet-sitting.net/,WordPress || Custom
Clairmont Capital,https://www.figma.com/file/9KZq3hiGhzOUqc4o1XZlwD/Clairmont-Capital?type=design&node-id=0%3A1&mode=design&t=bIFHn6Ght2FjXYJ9-1,https://www.figma.com/proto/9KZq3hiGhzOUqc4o1XZlwD/Clairmont-Capital?node-id=1-14&t=oT4nsv5UlF85FZM6-1&scaling=scale-down-width&content-scaling=fixed&page-id=0%3A1,Investment Company,https://www.clairmontcg.com/,WordPress || Custom
All Season Digital,https://www.figma.com/file/WOOvGhMxV6e7rT1wcY9jz1/All-Season-Digital?node-id=0%3A1,https://www.figma.com/proto/WOOvGhMxV6e7rT1wcY9jz1/All-Season-Digital?node-id=1145-2&t=v1qSlVN3sBj0HUZy-1&scaling=scale-down-width&content-scaling=fixed&page-id=0%3A1,Video Production || Social Media Management || Booking || Digital Agency || Boutique Ad agency,https://sslexpireddonotuse/allseason-digital/,Wordpress || Custom
Amplify Car Wash Advisors,https://www.figma.com/file/r4LVeBKma9zWDQT5Jp1gcg/Amplify-Car-Wash-Advisors?node-id=0%3A1,https://www.figma.com/proto/r4LVeBKma9zWDQT5Jp1gcg/Amplify-Car-Wash-Advisors?node-id=953-2&t=pJwgPOKZ32OrdjXs-1&scaling=scale-down-width&content-scaling=fixed&page-id=0%3A1,Car wash || Gas Station,https://amplifywash.com/,
Integrity Home Lending,https://www.figma.com/file/nPkokaDE80011Xmq5AMe8y/Integrity-Home-Lending?node-id=0%3A1,https://www.figma.com/proto/nPkokaDE80011Xmq5AMe8y/Integrity-Home-Lending?node-id=1202-2&p=f&t=kgO8rKuf08clbyTY-1&scaling=scale-down-width&content-scaling=fixed&page-id=0%3A1&starting-point-node-id=1202%3A2,Mortgage Calculator || Purchase And Refinance House,https://muhammadprojects.com/integrity/,Wordpress || Elementor
Cute Monsters,https://www.figma.com/design/oZjecPIEEnI026WTMAjwAD/Cute-Monsters?node-id=0-1&t=tiJZf0fZ3P66rrLc-1,https://www.figma.com/proto/oZjecPIEEnI026WTMAjwAD/Cute-Monsters?node-id=1-2&p=f&t=5SdNu7Bz7N46PmUI-1&scaling=scale-down-width&content-scaling=fixed&page-id=0%3A1,Discord | Block chain,,
Anecdotez,https://www.figma.com/design/noF6KC1WuH6aw4sqzjdwaV/Anecdotez-Homepage?node-id=0-1&t=VjRKwm31iMMYUtN7-1,https://www.figma.com/proto/noF6KC1WuH6aw4sqzjdwaV/Anecdotez-Homepage?node-id=4701-2&p=f&t=gFzjmdKzVR6sFgXR-1&scaling=scale-down-width&content-scaling=fixed&page-id=0%3A1,Blogs || News || Magazine,,
Abeer-Alshatti,https://www.figma.com/file/hyprkTzIj9jWnU4NUpyCUv/Abeer-Alshatti-website?node-id=165%3A1747,,Exercise || Health || Food || Fitness,,
Scrub Perfect Cleaning,https://www.figma.com/design/mdp7IpfZFckFdb5wwEuEi0/Scrub-Perfect-Cleaning-Landing-Page?node-id=0-1&t=QLfUOSDNfgZ3Joxo-1,https://www.figma.com/proto/mdp7IpfZFckFdb5wwEuEi0/Scrub-Perfect-Cleaning-Landing-Page?node-id=90-2&p=f&t=ihTkNUINKHdVik7H-1&scaling=scale-down-width&content-scaling=fixed&page-id=0%3A1,Cleaning Services || Google integration for reviews,https://insitechstaging.com/demo/scrub-perfect-cleaning/,
Commercial Plus LLC,https://www.figma.com/design/06hfvOWYQIoQac2vGl6Bw7/Commercial-Plus-LLC?node-id=0-1&t=CSep9hjDbucrxsEe-1,https://www.figma.com/proto/06hfvOWYQIoQac2vGl6Bw7/Commercial-Plus-LLC?node-id=1129-2&p=f&t=E5lFFwmHQYJVVnhg-1&scaling=scale-down-width&content-scaling=fixed&page-id=0%3A1,Real Estate || Finance Expert || Mortgage || Rent & Buy || Housing || Calculator,https://commercialplus.com/,
Easier Eats,https://www.figma.com/design/BSj4nxVt0IO3JYVczPouWx/Easier-Eats?node-id=0-1&t=xdZlPmLP76LkNaEM-1,https://www.figma.com/proto/BSj4nxVt0IO3JYVczPouWx/Easier-Eats?node-id=1-4&p=f&t=Fu46oSPFUiw1g9FT-1&scaling=scale-down-width&content-scaling=fixed&page-id=0%3A1,Recipe || Recipe Blogs || Sign-In / Sign-Up,,
Florentine Jewelry,https://www.figma.com/design/iiFsRbCiK07njsO7PsRCyp/Florentine-Jewelry?node-id=0-1&t=o7jHkiX9DqxssRQx-1,https://www.figma.com/proto/iiFsRbCiK07njsO7PsRCyp/Florentine-Jewelry?node-id=729-2&p=f&t=fHDFTM8CJyIIVWBa-1&scaling=scale-down-width&content-scaling=fixed&page-id=0%3A1,Jewelry || Customization || E-commerce || Shop,https://www.muhammadprojects.com/florentine-jewelry/,
JB Wellness,https://www.figma.com/design/Jo4hFh1jtvBGNSwJLV9ADy/JB-Wellness?node-id=0-1&t=3ANT8O3FJiviCaLJ-1,https://www.figma.com/proto/Jo4hFh1jtvBGNSwJLV9ADy/JB-Wellness?node-id=727-2&t=Kt9ngIBnZVuam8o7-1&scaling=min-zoom&content-scaling=fixed&page-id=0%3A1,"Health, Medicine, Care, Food, Wellness",https://www.muhammadprojects.com/jill-baker/,
